info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:21:48.177Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:21:48.184Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:21:51.967Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:21:51.974Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:01.994Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:02.000Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:06.283Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:06.292Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:10.897Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:10.904Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:17.267Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:17.273Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:25.132Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:25.142Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:22:29.979Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:22:29.988Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:23:09.176Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:23:09.184Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:23:31.765Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:23:31.773Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:29:59.953Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:29:59.962Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:30:10.776Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:30:10.783Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:31:13.537Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:31:13.561Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:31:55.511Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:31:55.524Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:32:27.245Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:32:27.251Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:35:39.440Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:35:39.449Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:36:09.753Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:36:09.760Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:37:23.428Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:37:23.440Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:37:33.313Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:37:33.320Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:38:28.874Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:38:28.882Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:38:56.500Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:38:56.508Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:40:04.695Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:40:04.702Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:40:21.219Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:40:21.230Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:40:50.492Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:40:50.499Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:41:17.949Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:41:17.993Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:42:06.871Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:42:06.886Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:43:03.596Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:43:03.603Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:43:35.371Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:43:35.381Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:43:53.380Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:43:53.388Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:44:47.995Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:44:48.025Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:45:20.241Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:45:20.247Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:45:55.793Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:45:55.799Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:48:02.686Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:48:02.692Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:48:58.873Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:48:58.882Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:49:52.636Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:49:52.646Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:51:50.425Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:51:50.432Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:52:15.612Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:52:15.621Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:52:41.010Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:52:41.018Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:53:55.169Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:53:55.200Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:54:30.679Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:54:30.687Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:55:10.670Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:55:10.676Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:55:43.202Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:55:43.211Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:56:08.904Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:56:08.929Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:56:24.441Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:56:24.449Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:57:18.137Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:57:18.145Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:00:07.139Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:00:07.154Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:00:55.450Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:00:55.458Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:01:41.360Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:01:41.367Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:02:05.946Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:02:05.954Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:02:23.228Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:02:23.234Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:02:32.223Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:02:32.230Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:03:18.728Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:03:18.757Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:04:09.448Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:04:09.471Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:06:27.815Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:06:27.822Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:06:30.644Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:08:22.660Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:08:22.672Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:08:27.246Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:08:27.275Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:10:05.877Z"}
